series_num,status,year,doy,datetime,rocket,pot_name,pot_lat,pot_lon,orbit,mass,dst_mean,dst
13,0,1986,32,1986-02-01 12:36:00.000000,长征三号（遥801303/遥3）,西昌卫星发射中心三号发射工位28°14′49″N,28.24705,102.02906,地球同步转移轨道,东方红二号通信卫星（实用同步通信卫星一号） ,,
14,0,1986,279,1986-10-06 05:40:00.000000,长征二号丙（遥802605/遥5）,酒泉卫星发射中心二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号国土普查卫星08星（返回式遥感卫星0号08星）（科学探测与技术试验卫星） ,,
15,0,1987,217,1987-08-05 07:39:00.000000,长征二号丙（遥802706/遥6）,酒泉卫星发射中心二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号国土普查卫星09星（返回式遥感卫星0号09星）（科学探测与技术试验卫星）（搭载 法国微重力试验装置）[参 1] ,,
16,0,1987,252,1987-09-09 08:15:00.000000,长征二号丙（遥802707/遥7）,酒泉卫星发射中心二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号甲摄影测绘卫星01星（返回式遥感卫星1号01星）（科学探测与技术试验卫星） ,,
17,0,1988,67,1988-03-07 12:41:00.000000,长征三号（遥4）,西昌卫星发射中心三号发射工位28°14′49″N,28.24705,102.02906,地球同步转移轨道,东方红二号甲通信卫星（实用同步通信卫星二号）（中星一号通信卫星） ,,
18,0,1988,218,1988-08-05 08:28:35.000000,长征二号丙（遥802808/遥8）,酒泉卫星发射中心二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号甲摄影测绘卫星02星（返回式遥感卫星1号02星）（科学探测与技术试验卫星）（搭载 西德微重力试验装置）[参 1] ,,
19,0,1988,250,1988-09-06 21:30:19.000000,长征四号甲（遥1）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,太阳同步轨道,风云一号A试验气象卫星（风云一号01星） ,,
20,0,1988,357,1988-12-22 12:40:00.000000,长征三号（遥5）,西昌卫星发射中心三号发射工位28°14′49″N,28.24705,102.02906,地球同步转移轨道,东方红二号甲通信卫星（实用同步通信卫星三号）（中星二号通信卫星） ,,
21,0,1990,35,1990-02-04 12:27:03.000000,长征三号（遥6）,西昌卫星发射中心三号发射工位28°14′49″N,28.24705,102.02906,地球同步转移轨道,东方红二号甲通信卫星（实用同步通信卫星四号）（中星三号通信卫星） ,,
22,0,1990,97,1990-04-07 13:30:02.281000,长征三号（遥801907/遥7）,西昌卫星发射中心三号发射工位28°14′49″N,28.24705,102.02906,地球同步转移轨道,亚洲一号通信卫星（亚卫一号通信卫星）（西联星六号通信卫星） ,,
23,0,1990,197,1990-07-16 01:40:00.000000,长征二号捆（遥1）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,近地椭圆轨道, 样板上面级发动机[注 12] 澳星模拟卫星（澳普图斯模拟卫星）  巴达尔一号科学实验卫星[注 13]（巴达尔A科学实验卫星）（ 巴基斯坦）  ,,
24,0,1990,246,1990-09-03 01:53:00.000000,长征四号甲（遥2）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,太阳同步轨道,风云一号B试验气象卫星（风云一号02星）  大气一号甲气球卫星   大气一号乙气球卫星  ,,
25,0,1990,278,1990-10-05 06:15:00.000000,长征二号丙（遥902009/遥9）,酒泉卫星发射中心二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号甲摄影测绘卫星03星（返回式遥感卫星1号03星）（科学探测与技术试验卫星） ,,
26,0,1991,362,1991-12-28 12:02:00.000000,长征三号（遥9）,西昌卫星发射中心三号发射工位28°14′49″N,28.24705,102.02906,地球同步转移轨道,东方红二号甲通信卫星（实用同步通信卫星五号）（中星四号通信卫星） ,,
27,0,1992,222,1992-08-09 08:00:00.000000,长征二号丁（遥1）,酒泉卫星发射中心二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号乙国土普查卫星01星（返回式遥感卫星2号01星）（科学探测与技术试验卫星） ,,
28,0,1992,226,1992-08-13 23:00:00.000000,长征二号捆（遥3）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,近地椭圆轨道, Star-63F（ 美国） 澳普图斯B1通信卫星（澳星B1通信卫星）（ 澳大利亚） ,,
29,0,1992,280,1992-10-06 06:20:05.000000,长征二号丙（遥903210/遥10）,酒泉卫星发射中心二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号甲摄影测绘卫星04星（返回式遥感卫星1号04星）（科学探测与技术试验卫星）  弗利亚科学实验卫星[注 19]（邮政星通信卫星）（ 瑞典）  ,,
30,0,1992,356,1992-12-21 11:20:05.466000,长征二号捆（遥4）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,近地椭圆轨道, Star-63F（ 美国） 澳普图斯B2通信卫星（澳星B2通信卫星）（ 澳大利亚） ,,
